payment_id,timestamp,channel,payer_phone,amount,currency,reference
SE07HE42X6,2026-09-22 07:36:58,MOBILE_MONEY,254700395024,192.50,USD,TUP-S-000056
SQ6OC7T3BD,2026-09-22 07:37:58,MOBILE_MONEY,254700395024,192.50,USD,TUP-S-000056
SKHCW81XE6,2026-09-22 07:50:38,MOBILE_MONEY,254700496631,589.25,USD,TUP-S-000031
BNK974395339,2026-09-22 08:02:37,BANK,254700210470,15.00,USD,ACC 5521
BNK278680112,2026-09-22 08:14:36,BANK,254700640052,290.00,USD,TUP-S-000017
SQ6192K42Q,2026-09-22 08:21:00,MOBILE_MONEY,254700317278,5.25,USD,TUP-S-000025
STI4P40MGG,2026-09-22 08:36:36,MOBILE_MONEY,254700051834,308.00,USD,TUP-S-000010
SVARJI8QLH,2026-09-22 08:37:59,MOBILE_MONEY,254700839335,19.60,USD,TUP-S-000055
SVARJI8QLH,2026-09-22 08:37:59,MOBILE_MONEY,254700839335,19.60,USD,TUP-S-000055
SBM7X52DNR,2026-09-22 08:55:25,MOBILE_MONEY,254700451680,27.00,USD,TUP-S-000041
SNDKYAYQ3S,2026-09-22 09:01:52,MOBILE_MONEY,254700801326,435.00,USD,TUP-S-000012
BNK713900532,2026-09-22 09:15:52,BANK,254700585064,50.40,USD,TUP-S-000054
SB467KD6FL,2026-09-22 09:51:54,MOBILE_MONEY,254700430980,5.60,USD,TUP-S-000013
SKA8IRCD9S,2026-09-22 11:06:20,MOBILE_MONEY,254700749894,20.09,USD,TUP-S-000035
SXZ9XFZAQ8,2026-09-22 11:11:08,MOBILE_MONEY,254700754965,64.40,USD,
SU9UY7S361,2026-09-22 11:20:04,MOBILE_MONEY,254700766177,77.00,USD,
SX7UQNUPQZ,2026-09-22 11:21:52,MOBILE_MONEY,254700193990,8.40,USD,TUP-S-000014
SNK3I8BZBF,2026-09-22 11:23:19,MOBILE_MONEY,254700346706,7.00,USD,TUP-S-000028
